,Axis,Boundary,Threshold,Coefficient
0,X-coord,-1.0-1.0,0.,0.16047289334578027
1,X-coord,-1.0-1.0,0.25,0.1823863890080976
2,X-coord,-1.0-1.0,0.5,0.22907103823105246
3,X-coord,-1.0-1.0,0.75,0.22810387106491847
4,X-coord,-1.0-1.0,1.,0.2250532723860354
5,X-coord,-1.0-1.0,1.25,0.20657424340670738
6,X-coord,-1.0-1.0,1.5,0.1853601326980948
7,X-coord,-1.0-1.0,1.75,0.15508879781746418
8,X-coord,-2.0-2.0,0.,0.09006697878834463
9,X-coord,-2.0-2.0,0.25,0.07922380494302365
10,X-coord,-2.0-2.0,0.5,0.188895148929098
11,X-coord,-2.0-2.0,0.75,0.21369818957550524
12,X-coord,-2.0-2.0,1.,0.2472135063364244
13,X-coord,-2.0-2.0,1.25,0.2424464402214507
14,X-coord,-2.0-2.0,1.5,0.20579472898141377
15,X-coord,-2.0-2.0,1.75,0.1775610729323613
16,X-coord,-3.0-3.0,0.,0.005759872630475843
17,X-coord,-3.0-3.0,0.25,1.781187882284624e-05
18,X-coord,-3.0-3.0,0.5,0.0476136119510626
19,X-coord,-3.0-3.0,0.75,0.10856232989780552
20,X-coord,-3.0-3.0,1.,0.1626056579391367
21,X-coord,-3.0-3.0,1.25,0.1809960421547085
22,X-coord,-3.0-3.0,1.5,0.19991908237309355
23,X-coord,-3.0-3.0,1.75,0.17445921638719342
24,X-coord,-3.45 - -1.0 and 1.0 - 3.55,0.,0.006328452441559489
25,X-coord,-3.45 - -1.0 and 1.0 - 3.55,0.25,0.05466356095180827
26,X-coord,-3.45 - -1.0 and 1.0 - 3.55,0.5,0.005739952313060874
27,X-coord,-3.45 - -1.0 and 1.0 - 3.55,0.75,0.016014272638891942
28,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.,0.06623977211944854
29,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.25,0.10207772843414145
30,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,0.1422247455176173
31,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,0.12914694522859685
32,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.,0.23255292638800648
33,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.25,0.2425309374041493
34,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.5,0.1093090433107694
35,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.75,0.00824831512272701
36,X-coord,-3.45 - -2.0 and 2.0 - 3.55,1.,0.003124962592286457
37,X-coord,-3.45 - -2.0 and 2.0 - 3.55,1.25,0.022079450680015638
38,X-coord,-3.45 - -2.0 and 2.0 - 3.55,1.5,0.08938578488148997
39,X-coord,-3.45 - -2.0 and 2.0 - 3.55,1.75,0.08728667075320586
40,X-coord,-3.45 - -3.0 and 3.0 - 3.55,0.,0.35382992955638515
41,X-coord,-3.45 - -3.0 and 3.0 - 3.55,0.25,0.32201454504247506
42,X-coord,-3.45 - -3.0 and 3.0 - 3.55,0.5,0.18427466358030115
43,X-coord,-3.45 - -3.0 and 3.0 - 3.55,0.75,0.019194448087062676
44,X-coord,-3.45 - -3.0 and 3.0 - 3.55,1.,4.8201674782508056e-05
45,X-coord,-3.45 - -3.0 and 3.0 - 3.55,1.25,0.021951332796353522
46,X-coord,-3.45 - -3.0 and 3.0 - 3.55,1.5,0.03244965037754573
47,X-coord,-3.45 - -3.0 and 3.0 - 3.55,1.75,0.022324447020187398
48,Y-coord,-1.0-1.0,0.,0.024090526809695628
49,Y-coord,-1.0-1.0,0.25,0.2543773660034175
50,Y-coord,-1.0-1.0,0.5,0.23472580068636112
51,Y-coord,-1.0-1.0,0.75,0.021156885516000375
52,Y-coord,-1.0-1.0,1.,0.007027173170003751
53,Y-coord,-1.0-1.0,1.25,0.03123714378808803
54,Y-coord,-1.0-1.0,1.5,0.05075249672082613
55,Y-coord,-1.0-1.0,1.75,0.04981326051318527
56,Y-coord,-2.0-2.0,0.,0.0015207729816841418
57,Y-coord,-2.0-2.0,0.25,0.09006756613684737
58,Y-coord,-2.0-2.0,0.5,0.030346816182132634
59,Y-coord,-2.0-2.0,0.75,0.004530617978445313
60,Y-coord,-2.0-2.0,1.,0.03558162643883218
61,Y-coord,-2.0-2.0,1.25,0.0671800064402014
62,Y-coord,-2.0-2.0,1.5,0.12188043241186904
63,Y-coord,-2.0-2.0,1.75,0.11688484192706186
64,Y-coord,-3.0-3.0,0.,1.3663168722496785e-05
65,Y-coord,-3.0-3.0,0.25,0.014467702471415005
66,Y-coord,-3.0-3.0,0.5,0.007345021796909766
67,Y-coord,-3.0-3.0,0.75,0.06573612762176441
68,Y-coord,-3.0-3.0,1.,0.13224117154822362
69,Y-coord,-3.0-3.0,1.25,0.1667046380349428
70,Y-coord,-3.0-3.0,1.5,0.19596683617732671
71,Y-coord,-3.0-3.0,1.75,0.17403798302812223
72,Y-coord,-3.45 - -1.0 and 1.0 - 3.55,0.,0.03777539843356849
73,Y-coord,-3.45 - -1.0 and 1.0 - 3.55,0.25,0.06978452795673828
74,Y-coord,-3.45 - -1.0 and 1.0 - 3.55,0.5,0.13697940199128247
75,Y-coord,-3.45 - -1.0 and 1.0 - 3.55,0.75,0.1549154906858268
76,Y-coord,-3.45 - -1.0 and 1.0 - 3.55,1.,0.1771978048564185
77,Y-coord,-3.45 - -1.0 and 1.0 - 3.55,1.25,0.18960992841776214
78,Y-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,0.204377156726855
79,Y-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,0.17821101620435273
80,Y-coord,-3.45 - -2.0 and 2.0 - 3.55,0.,0.08775023516592907
81,Y-coord,-3.45 - -2.0 and 2.0 - 3.55,0.25,0.10908134840613078
82,Y-coord,-3.45 - -2.0 and 2.0 - 3.55,0.5,0.19278274595706063
83,Y-coord,-3.45 - -2.0 and 2.0 - 3.55,0.75,0.20910308929177118
84,Y-coord,-3.45 - -2.0 and 2.0 - 3.55,1.,0.2495835326749772
85,Y-coord,-3.45 - -2.0 and 2.0 - 3.55,1.25,0.2504360477298236
86,Y-coord,-3.45 - -2.0 and 2.0 - 3.55,1.5,0.21608024127710243
87,Y-coord,-3.45 - -2.0 and 2.0 - 3.55,1.75,0.1824580971352655
88,Y-coord,-3.45 - -3.0 and 3.0 - 3.55,0.,0.14247356209976342
89,Y-coord,-3.45 - -3.0 and 3.0 - 3.55,0.25,0.16823498875434822
90,Y-coord,-3.45 - -3.0 and 3.0 - 3.55,0.5,0.21317685906615208
91,Y-coord,-3.45 - -3.0 and 3.0 - 3.55,0.75,0.2174791027347621
92,Y-coord,-3.45 - -3.0 and 3.0 - 3.55,1.,0.20943198004005253
93,Y-coord,-3.45 - -3.0 and 3.0 - 3.55,1.25,0.1744822987157604
94,Y-coord,-3.45 - -3.0 and 3.0 - 3.55,1.5,0.07655271121828902
95,Y-coord,-3.45 - -3.0 and 3.0 - 3.55,1.75,0.01471805648422326
