,Name,Category,Metal,Atom_A,Atom_B,A-M-B Angle,M-A Distance,M-B Distance,Metal_NBO,A_NBO,B_NBO,HOMO_LUMO,A-B_NBO,MA_MB_Difference,SPE,Gibbs Free Energy Correction
0,n-n-1,etcoord,1,12,13,75,2.2464014744862504,2.1686493361781656,0.42466,-0.45886,-0.42356,0.1357599999999999,-0.0353,0.0777521383080848,-1124.07385608,0.323611
2,n-n-2,etcoord,1,12,13,75,2.218361041617437,2.1765424857716424,0.43328,-0.42296,-0.42306,0.13998,9.9999999999989e-05,0.0418185558457944,-1163.35820269,0.350806
4,n-n-3,etcoord,1,12,13,75,2.2206987055746668,2.1771811422858227,0.43256,-0.42613,-0.42343,0.15455,-0.0027,0.043517563288844,-1048.84930359,0.319435
6,n-n-4,etcoord,1,12,13,75,2.169009734521494,2.222794423831633,0.43892,-0.42652,-0.44451,0.14899,0.01799,-0.053784689310139,-1284.63175313,0.479807
8,n-n-5,etcoord,1,2,12,77,2.2399531725408903,2.171193213494828,0.43269,-0.42869,-0.42842,0.17159,-0.0002699999999999,0.0687599590460621,-1008.38509933,0.278744
10,p-p-1,etcoord,59,7,8,84,2.447634050572716,2.3555494462074025,-0.0205,1.08424,1.20096,0.17012,-0.1167199999999999,0.0920846043653131,-2124.51019082,0.506078
12,p-p-2,etcoord,1,2,3,87,2.3581535553862896,2.4830039598800484,-0.01088,1.14941,1.07502,0.16995,0.0743899999999999,-0.1248504044937588,-2163.80298194,0.533406
14,p-p-3,etcoord,78,10,11,88,2.366478572902996,2.471391671001786,0.01276,1.16799,1.07623,0.16903,0.09176,-0.1049130980987902,-2621.83603407,0.653895
16,p-p-4,etcoord,65,25,26,95,2.356593453779629,2.464848762127405,-0.0385,1.13721,1.0653,0.15753,0.0719100000000001,-0.1082553083477759,-2053.12948619,0.574091
18,p-so-1,etcoord,34,1,5,88,2.5236518907618777,2.155229725352033,0.302,1.05069,-0.95333,0.17235,2.00402,0.3684221654098447,-2325.43540766,0.426736
20,p-so-10,etcoord,30,1,5,89,2.5300944044135982,2.1308598190115653,0.31363,1.03633,-0.95503,0.1740399999999999,1.99136,0.3992345854020329,-2325.43364672,0.427933
22,p-so-11,etcoord,30,1,5,90,2.5666825824747006,2.160160924728063,0.33071,1.0031,-0.96969,0.16637,1.9727900000000005,0.4065216577466377,-2556.38852974,0.509968
24,p-so-12,etcoord,30,1,5,90,2.5613072032446635,2.1579575351357128,0.33307,1.00566,-0.96958,0.15906,1.97524,0.4033496681089508,-2670.89833924,0.539058
26,p-so-13,etcoord,22,1,5,84,2.568903436871265,2.229305030608866,0.29882,1.02496,-0.95472,0.1738,1.97968,0.3395984062623989,-2100.03698435,0.435939
28,p-so-14,etcoord,14,1,5,82,2.562338577389998,2.159071790231395,0.2841,1.0306,-0.95646,0.1752699999999999,1.98706,0.4032667871586031,-2103.66853672,0.504521
30,p-so-15,etcoord,14,1,5,86,2.6057508912259824,2.188458486645566,0.29408,1.00202,-0.9535,0.17734,1.95552,0.4172924045804165,-1870.28739932,0.377829
32,p-so-16,etcoord,50,19,67,89,2.5214667940175217,2.1493381384737957,0.32111,1.05596,-0.95686,0.1619799999999999,2.01282,0.3721286555437264,-2603.67313337,0.492326
34,p-so-2,etcoord,36,1,5,87,2.5226732991533014,2.145965347829736,0.31063,1.04166,-0.95806,0.17209,1.99972,0.3767079513235654,-2096.41969552,0.368417
36,p-so-3,etcoord,35,1,5,87,2.5773951696208712,2.1111210184008877,0.32772,1.02599,-0.97546,0.16901,2.00145,0.4662741512199839,-2404.04096871,0.484749
38,p-so-4,etcoord,35,1,5,86,2.525354868191993,2.126505099723252,0.33942,1.02012,-0.98167,0.16887,2.00179,0.3988497684687413,-2482.64307001,0.540718
40,p-so-5,etcoord,34,1,5,87,2.533653037087359,2.136591355426676,0.28938,1.03593,-0.96983,0.17164,2.00576,0.3970616816606833,-2214.31502652,0.445584
42,p-so-6,etcoord,27,1,6,82,2.494206458021869,2.1390197896898946,0.2814,1.05456,-0.96226,0.16372,2.01682,0.3551866683319749,-2173.07565946,0.406115
44,p-so-7,etcoord,35,1,5,88,2.531023187956009,2.171199896445512,0.26468,1.02334,-0.96211,0.16447,1.98545,0.3598232915104975,-2175.01353622,0.421908
46,p-so-8,etcoord,32,1,5,88,2.5169192078010765,2.1489128201928063,0.3238,1.04117,-0.95725,0.16948,1.99842,0.3680063876082702,-2554.44320634,0.487878
48,p-so-9,etcoord,30,1,5,88,2.510653674149623,2.157334548294724,0.29122,1.05368,-0.9508,0.16759,2.00448,0.3533191258548989,-2325.4375158,0.424926
50,pcpo-1,etcoord,1,2,60,85,2.535138236959476,2.1620170100269798,0.30208,1.01325,-1.06397,0.16969,2.07722,0.3731212269324966,-2160.45807074,0.478998
52,pcpo-2,etcoord,1,2,60,89,2.4885052413740265,2.1480869164000325,0.28317,1.03922,-1.07309,0.16547,2.11231,0.340418324973994,-2199.75557183,0.507517
54,pcpo-3,etcoord,1,2,60,86,2.5168890260736565,2.129780162111808,0.3007,1.01942,-1.092,0.16589,2.11142,0.3871088639618483,-2239.0544862,0.536996
56,pnpo-1,etcoord,68,1,2,82,2.5437992606754567,2.1739192821625184,0.31057,1.20903,-1.08454,0.1348099999999999,2.29357,0.3698799785129383,-2770.41777983,0.674276
58,pnpo-10,etcoord,58,1,2,79,2.533008772801626,2.2047323419104643,0.33946,1.18989,-1.09159,0.15703,2.28148,0.3282764308911616,-3096.4560053,0.747739
60,pnpo-11,etcoord,58,1,2,79,2.5354958310722973,2.196931717051989,0.34408,1.18808,-1.09062,0.16207,2.2787,0.3385641140203081,-3139.13503572,0.821773
62,pnpo-12,etcoord,58,1,2,79,2.533903888093627,2.208357050285348,0.34263,1.18867,-1.09223,0.1529499999999999,2.2809,0.3255468378082797,-3210.96518582,0.776327
64,pnpo-13,etcoord,58,1,2,80,2.530143706801849,2.2107157325990605,0.34128,1.1904,-1.09316,0.13135,2.28356,0.3194279742027883,-3230.38150266,0.814825
66,pnpo-2,etcoord,67,1,2,80,2.5474403760873385,2.15787579275291,0.35306,1.20051,-1.07125,0.1388899999999999,2.27176,0.3895645833344283,-3001.37413133,0.752185
68,pnpo-3,etcoord,68,1,2,82,2.545204792708634,2.173710794157079,0.31348,1.20771,-1.08254,0.1608,2.2902500000000003,0.3714939985515548,-2751.00155993,0.6367
70,pnpo-4,etcoord,87,1,2,78,2.535106938249351,2.185534394155123,0.32839,1.20752,-1.08517,0.13201,2.29269,0.3495725440942281,-2999.42482741,0.737949
72,pnpo-5,etcoord,68,1,2,82,2.5413193695324874,2.1745135453252527,0.3148,1.20808,-1.08092,0.1698,2.289,0.3668058242072347,-2636.49304408,0.608622
74,pnpo-6,etcoord,58,1,2,81,2.520703194925773,2.179643221522962,0.2708,1.2275,-1.07647,0.15697,2.30397,0.3410599734028103,-2521.98251168,0.577162
76,pnpo-7,etcoord,58,1,2,80,2.51977577294191,2.182394575230153,0.27127,1.22605,-1.07717,0.17005,2.30322,0.3373811977117569,-2407.47431767,0.548384
78,pnpo-8,etcoord,58,1,2,79,2.525503259017893,2.185182661172745,0.29176,1.22293,-1.07433,0.16557,2.29726,0.3403205978451478,-2973.57265146,0.609391
80,pnpo-9,etcoord,58,1,2,79,2.5350762426887674,2.201490758567703,0.3421,1.1905,-1.09048,0.16179,2.28098,0.3335854841210643,-2981.94814185,0.716688
