Filename,Metal ,Atom_A,Atom_B
n-n-1-spe-cocoord,1,12,13
n-n-1-spe-etcoord,1,12,13
n-n-1-spe-etcoord-cis,1,12,13
n-n-1-spe-nocoord,1,12,13
n-n-1-spe-nocoord-cis,1,12,13
n-n-2-spe-cocoord,1,12,13
n-n-2-spe-etcoord,1,12,13
n-n-2-spe-etcoord-cis,1,12,13
n-n-2-spe-nocoord,1,12,13
n-n-2-spe-nocoord-cis,1,12,13
n-n-3-spe-cocoord,1,12,13
n-n-3-spe-etcoord,1,12,13
n-n-3-spe-etcoord-cis,1,12,13
n-n-3-spe-nocoord,1,12,13
n-n-3-spe-nocoord-cis,1,12,13
n-n-4-spe-cocoord,1,12,13
n-n-4-spe-etcoord,1,12,13
n-n-4-spe-etcoord-cis,1,12,13
n-n-4-spe-nocoord,1,12,13
n-n-4-spe-nocoord-cis,1,12,13
pcpo-1-spe-cocoord,1,2,60
pcpo-1-spe-etcoord,1,2,60
pcpo-1-spe-etcoord-cis,1,2,60
pcpo-1-spe-nocoord,1,2,60
pcpo-1-spe-nocoord-cis,1,2,60
pcpo-2-spe-cocoord,1,2,60
pcpo-2-spe-etcoord,1,2,60
pcpo-2-spe-etcoord-cis,1,2,60
pcpo-2-spe-nocoord,1,2,60
pcpo-2-spe-nocoord-cis,1,2,60
pcpo-3-spe-cocoord,1,2,60
pcpo-3-spe-etcoord,1,2,60
pcpo-3-spe-etcoord-cis,1,2,60
pcpo-3-spe-nocoord,1,2,60
pcpo-3-spe-nocoord-cis,1,2,60
phen-spe-etcoord,1,2,12
phen-spe-nocoord,1,2,12
pnpo-1-spe-cocoord,68,1,2
pnpo-1-spe-etcoord,68,1,2
pnpo-1-spe-etcoord-cis,68,1,2
pnpo-1-spe-nocoord,77,1,2
pnpo-1-spe-nocoord-cis,77,1,2
pnpo-2-spe-cocoord,67,1,2
pnpo-2-spe-etcoord,67,1,2
pnpo-2-spe-etcoord-cis,67,1,2
pnpo-2-spe-nocoord,58,1,2
pnpo-2-spe-nocoord-cis,67,1,2
pnpo-3-spe-cocoord,68,1,2
pnpo-3-spe-etcoord,68,1,2
pnpo-3-spe-etcoord-cis,68,1,2
pnpo-3-spe-nocoord,68,1,2
pnpo-3-spe-nocoord-cis,68,1,2
pnpo-4-spe-cocoord,68,1,2
pnpo-4-spe-etcoord,87,1,2
pnpo-4-spe-etcoord-cis,1,2,3
pnpo-4-spe-nocoord,68,1,2
pnpo-4-spe-nocoord-cis,1,2,3
pnpo-5-spe-nocoord,68,1,2
pnpo-5-spe-etcoord,68,1,2
pnpo-6-spe-nocoord,58,1,2
pnpo-6-spe-etcoord,58,1,2
pnpo-7-spe-nocoord,58,1,2
pnpo-7-spe-etcoord,58,1,2
pnpo-8-spe-nocoord,58,1,2
pnpo-8-spe-etcoord,58,1,2
pnpo-9-spe-nocoord,58,1,2
pnpo-9-spe-etcoord,58,1,2
pnpo-10-spe-nocoord,58,1,2
pnpo-10-spe-etcoord,58,1,2
pnpo-11-spe-nocoord,58,1,2
pnpo-11-spe-etcoord,58,1,2
pnpo-12-spe-nocoord,58,1,2
pnpo-12-spe-etcoord,58,1,2
pnpo-13-spe-nocoord,58,1,2
pnpo-13-spe-etcoord,58,1,2
p-so-1-spe-cocoord,34,1,5
p-so-1-spe-etcoord,34,1,5
p-so-1-spe-etcoord-cis,34,1,5
p-so-1-spe-nocoord,46,1,5
p-so-1-spe-nocoord-cis,46,1,5
p-so-2-spe-cocoord,36,1,5
p-so-2-spe-etcoord,36,1,5
p-so-2-spe-etcoord-cis,36,1,5
p-so-2-spe-nocoord,36,1,6
p-so-2-spe-nocoord-cis,36,1,5
p-so-3-spe-cocoord,34,1,5
p-so-3-spe-etcoord,35,1,5
p-so-3-spe-etcoord-cis,35,1,5
p-so-3-spe-nocoord,34,1,5
p-so-3-spe-nocoord-cis,34,1,5
p-so-4-spe-cocoord,34,1,5
p-so-4-spe-etcoord,35,1,5
p-so-4-spe-etcoord-cis,35,1,5
p-so-4-spe-nocoord,34,1,5
p-so-4-spe-nocoord-cis,34,1,5
p-so-6-spe-cocoord,27,1,5
p-so-6-spe-etcoord,27,1,6
p-so-6-spe-etcoord-cis,27,1,6
p-so-6-spe-nocoord,26,1,5
p-so-6-spe-nocoord-cis,26,1,5
p-so-7-spe-cocoord,34,1,5
p-so-7-spe-etcoord,35,1,5
p-so-7-spe-etcoord-cis,35,1,5
p-so-7-spe-nocoord,33,1,5
p-so-7-spe-nocoord-cis,33,1,5
p-p-1-spe-cocoord,59,7,8
p-p-1-spe-etcoord,59,7,8
p-p-1-spe-nocoord,58,7,8
p-p-2-spe-etcoord,1,2,3
p-p-2-spe-cocoord,1,2,3
p-p-2-spe-nocoord,1,2,3
p-p-3-spe-cocoord,78,10,11
p-p-3-spe-etcoord,78,10,11
p-p-3-spe-nocoord,78,10,11
p-p-4-spe-cocoord,65,25,26
p-p-4-spe-etcoord,65,25,26
p-p-4-spe-nocoord,65,25,26
p-so-5-spe-cocoord,33,1,5
p-so-5-spe-etcoord,34,1,5
p-so-5-spe-etcoord-cis,34,1,5
p-so-5-spe-nocoord,33,1,6
p-so-5-spe-nocoord-cis,33,1,5
pcpo-3-spe-etcoord,1,2,60
pcpo-3-spe-etcoord-cis,1,2,60
pcpo-3-spe-nocoord,1,2,60
pcpo-3-spe-nocoord-cis,1,2,60
p-so-16-spe-nocoord,50,19,67
p-so-16-spe-etcoord,50,19,67
p-so-8-spe-nocoord,34,1,5
p-so-9-spe-nocoord,32,1,5
p-so-10-spe-nocoord,34,1,5
p-so-11-spe-nocoord,32,1,5
p-so-12-spe-nocoord,32,1,5
p-so-13-spe-nocoord,26,1,5
p-so-14-spe-nocoord,16,1,5
p-so-15-spe-nocoord,16,1,5
p-so-8-spe-etcoord,32,1,5
p-so-9-spe-etcoord,30,1,5
p-so-10-spe-etcoord,30,1,5
p-so-11-spe-etcoord,30,1,5
p-so-12-spe-etcoord,30,1,5
p-so-13-spe-etcoord,22,1,5
p-so-14-spe-etcoord,14,1,5
p-so-15-spe-etcoord,14,1,5
n-n-5-spe-nocoord,1,2,12
n-n-5-spe-etcoord,1,2,12
