,Name,Category,Gibbs Free Energy Correction
0,n-n-1,etcoord,0.323611
1,n-n-2,etcoord,0.350806
2,n-n-3,etcoord,0.319435
3,n-n-4,etcoord,0.479807
4,n-n-5,etcoord,0.278744
5,p-p-1,etcoord,0.506078
6,p-p-2,etcoord,0.533406
7,p-p-3,etcoord,0.653895
8,p-p-4,etcoord,0.574091
9,p-so-1,etcoord,0.426736
10,p-so-10,etcoord,0.427933
11,p-so-11,etcoord,0.509968
12,p-so-12,etcoord,0.539058
13,p-so-13,etcoord,0.435939
14,p-so-14,etcoord,0.504521
15,p-so-15,etcoord,0.377829
16,p-so-16,etcoord,0.492326
17,p-so-2,etcoord,0.368417
18,p-so-3,etcoord,0.484749
19,p-so-4,etcoord,0.540718
20,p-so-5,etcoord,0.445584
21,p-so-6,etcoord,0.406115
22,p-so-7,etcoord,0.421908
23,p-so-8,etcoord,0.487878
24,p-so-9,etcoord,0.424926
25,pcpo-1,etcoord,0.478998
26,pcpo-2,etcoord,0.507517
27,pcpo-3,etcoord,0.536996
28,pnpo-1,etcoord,0.674276
29,pnpo-10,etcoord,0.747739
30,pnpo-11,etcoord,0.821773
31,pnpo-12,etcoord,0.776327
32,pnpo-13,etcoord,0.814825
33,pnpo-2,etcoord,0.752185
34,pnpo-3,etcoord,0.6367
35,pnpo-4,etcoord,0.737949
36,pnpo-5,etcoord,0.608622
37,pnpo-6,etcoord,0.577162
38,pnpo-7,etcoord,0.548384
39,pnpo-8,etcoord,0.609391
40,pnpo-9,etcoord,0.716688
41,n-n-1,nocoord,0.276214
42,n-n-2,nocoord,0.302791
43,n-n-3,nocoord,0.272689
44,n-n-4,nocoord,0.430058
45,n-n-5,nocoord,0.229548
46,p-p-1,nocoord,0.455804
47,p-p-2,nocoord,0.482644
48,p-p-3,nocoord,0.607263
49,p-p-4,nocoord,0.522491
50,p-so-1,nocoord,0.378376
51,p-so-10,nocoord,0.380062
52,p-so-11,nocoord,0.455981
53,p-so-12,nocoord,0.486219
54,p-so-13,nocoord,0.386678
55,p-so-14,nocoord,0.454825
56,p-so-15,nocoord,0.328771
57,p-so-16,nocoord,0.442901
58,p-so-2,nocoord,0.319496
59,p-so-3,nocoord,0.434362
60,p-so-4,nocoord,0.487693
61,p-so-5,nocoord,0.396053
62,p-so-6,nocoord,0.360531
63,p-so-7,nocoord,0.372108
64,p-so-8,nocoord,0.440933
65,p-so-9,nocoord,0.377032
66,pcpo-1,nocoord,0.431399
67,pcpo-2,nocoord,0.457344
68,pcpo-3,nocoord,0.487791
69,pnpo-1,nocoord,0.624748
70,pnpo-10,nocoord,0.663676
71,pnpo-11,nocoord,0.741036
72,pnpo-12,nocoord,0.694624
73,pnpo-13,nocoord,0.732861
74,pnpo-2,nocoord,0.703092
75,pnpo-3,nocoord,0.588646
76,pnpo-4,nocoord,0.685439
77,pnpo-5,nocoord,0.558947
78,pnpo-6,nocoord,0.525646
79,pnpo-7,nocoord,0.496349
80,pnpo-8,nocoord,0.559632
81,pnpo-9,nocoord,0.635513
