,Name,Category,Metal,Atom_A,Atom_B,A-M-B Angle,M-A Distance,M-B Distance,Metal_NBO,A_NBO,B_NBO,HOMO_LUMO,A-B_NBO,MA_MB_Difference,SPE,Gibbs Free Energy Correction
0,n-n-1,etcoord,1,12,13,75,2.2464014744862504,2.1686493361781656,0.42466,-0.45886,-0.42356,0.1357599999999999,-0.0353,0.0777521383080848,-1124.07385608,0.323611
1,n-n-1,nocoord,1,12,13,77,2.1899370153173354,2.0699492710668057,0.45674,-0.44516,-0.39852,0.13318,-0.04664,0.1199877442505297,-1045.51434726,0.276214
2,n-n-2,etcoord,1,12,13,75,2.218361041617437,2.1765424857716424,0.43328,-0.42296,-0.42306,0.13998,9.9999999999989e-05,0.0418185558457944,-1163.35820269,0.350806
3,n-n-2,nocoord,1,12,13,77,2.1703263732549534,2.0721118980537705,0.49421,-0.41997,-0.3975,0.13923,-0.0224699999999999,0.0982144752011828,-1084.79387781,0.302791
4,n-n-3,etcoord,1,12,13,75,2.2206987055746668,2.1771811422858227,0.43256,-0.42613,-0.42343,0.15455,-0.0027,0.043517563288844,-1048.84930359,0.319435
5,n-n-3,nocoord,1,12,13,77,2.17737368702274,2.074869566423875,0.49349,-0.4217,-0.39797,0.15312,-0.02373,0.1025041205988648,-970.286056272,0.272689
6,n-n-4,etcoord,1,12,13,75,2.169009734521494,2.222794423831633,0.43892,-0.42652,-0.44451,0.14899,0.01799,-0.053784689310139,-1284.63175313,0.479807
7,n-n-4,nocoord,1,12,13,77,2.166085787702094,2.0744752014109498,0.48133,-0.43169,-0.39668,0.14574,-0.03501,0.0916105862911442,-1206.0679086,0.430058
8,n-n-5,etcoord,1,2,12,77,2.2399531725408903,2.171193213494828,0.43269,-0.42869,-0.42842,0.17159,-0.0002699999999999,0.0687599590460621,-1008.38509933,0.278744
9,n-n-5,nocoord,1,2,12,79,2.181435402661743,2.08130218142633,0.4933,-0.4337,-0.40167,0.16768,-0.0320299999999999,0.1001332212354131,-929.822076662,0.229548
10,p-p-1,etcoord,59,7,8,84,2.447634050572716,2.3555494462074025,-0.0205,1.08424,1.20096,0.17012,-0.1167199999999999,0.0920846043653131,-2124.51019082,0.506078
11,p-p-1,nocoord,58,7,8,85,2.4216508776398795,2.26983736191825,0.0298,1.05375,1.24044,0.17512,-0.18669,0.1518135157216296,-2045.9579764,0.455804
12,p-p-2,etcoord,1,2,3,87,2.3581535553862896,2.4830039598800484,-0.01088,1.14941,1.07502,0.16995,0.0743899999999999,-0.1248504044937588,-2163.80298194,0.533406
13,p-p-2,nocoord,1,2,3,90,2.4258805801419823,2.277642566752957,0.04242,1.04759,1.22754,0.1760199999999999,-0.17995,0.1482380133890251,-2085.25538202,0.482644
14,p-p-3,etcoord,78,10,11,88,2.366478572902996,2.471391671001786,0.01276,1.16799,1.07623,0.16903,0.09176,-0.1049130980987902,-2621.83603407,0.653895
15,p-p-3,nocoord,78,10,11,92,2.441465277630833,2.3020198144101625,0.16457,1.00995,1.18212,0.16375,-0.1721700000000001,0.1394454632206705,-2543.27945643,0.607263
