,Name,Axis,Boundary,Threshold,Unfilled,Filled,Percent_Filled,Nonalt,Coefficient,Weighted_percent_filled
0,n-n-1,X-coord,-1.0-1.0,0.0,1337.0,83.0,5.845070422535211,0.0,0.16047289334578027,0.9379753625140678
96,n-n-2,X-coord,-1.0-1.0,0.0,1390.0,30.0,2.112676056338028,0.0,0.16047289334578027,0.339027239462916
192,n-n-3,X-coord,-1.0-1.0,0.0,1390.0,30.0,2.112676056338028,0.0,0.16047289334578027,0.339027239462916
288,n-n-4,X-coord,-1.0-1.0,0.0,1199.0,221.0,15.56338028169014,0.0,0.16047289334578027,2.4975006640434816
384,n-n-5,X-coord,-1.0-1.0,0.0,1388.0,32.0,2.2535211267605635,0.0,0.16047289334578027,0.3616290554271105
480,p-p-1,X-coord,-1.0-1.0,0.0,984.0,436.0,30.704225352112676,0.0,0.16047289334578027,4.92719588019438
576,p-p-2,X-coord,-1.0-1.0,0.0,1072.0,348.0,24.507042253521128,0.0,0.16047289334578027,3.9327159777698264
672,p-p-3,X-coord,-1.0-1.0,0.0,1016.0,404.0,28.450704225352112,0.0,0.16047289334578027,4.565566824767269
768,p-p-4,X-coord,-1.0-1.0,0.0,1148.0,272.0,19.154929577464788,0.0,0.16047289334578027,3.073846971130439
864,p-so-1,X-coord,-1.0-1.0,0.0,1017.0,403.0,28.380281690140844,1.0,0.16047289334578027,4.554265916785172
960,p-so-10,X-coord,-1.0-1.0,0.0,1013.0,407.0,28.661971830985916,1.0,0.16047289334578027,4.599469548713562
1056,p-so-11,X-coord,-1.0-1.0,0.0,932.0,488.0,34.36619718309859,1.0,0.16047289334578027,5.514843095263434
1152,p-so-12,X-coord,-1.0-1.0,0.0,931.0,489.0,34.436619718309856,1.0,0.16047289334578027,5.526144003245531
1248,p-so-13,X-coord,-1.0-1.0,0.0,1324.0,96.0,6.76056338028169,1.0,0.16047289334578027,1.0848871662813313
1344,p-so-14,X-coord,-1.0-1.0,0.0,1241.0,179.0,12.605633802816902,1.0,0.16047289334578027,2.0228625287953994
1440,p-so-15,X-coord,-1.0-1.0,0.0,1259.0,161.0,11.338028169014084,1.0,0.16047289334578027,1.8194461851176496
1536,p-so-16,X-coord,-1.0-1.0,0.0,1143.0,277.0,19.507042253521128,1.0,0.16047289334578027,3.1303515110409252
1632,p-so-2,X-coord,-1.0-1.0,0.0,1345.0,75.0,5.28169014084507,1.0,0.16047289334578027,0.8475680986572901
1728,p-so-3,X-coord,-1.0-1.0,0.0,930.0,490.0,34.50704225352113,1.0,0.16047289334578027,5.537444911227629
1824,p-so-4,X-coord,-1.0-1.0,0.0,931.0,489.0,34.436619718309856,1.0,0.16047289334578027,5.526144003245531
1920,p-so-5,X-coord,-1.0-1.0,0.0,912.0,508.0,35.774647887323944,1.0,0.16047289334578027,5.740861254905378
2016,p-so-6,X-coord,-1.0-1.0,0.0,1074.0,346.0,24.366197183098592,1.0,0.16047289334578027,3.910114161805632
2112,p-so-7,X-coord,-1.0-1.0,0.0,1132.0,288.0,20.281690140845072,1.0,0.16047289334578027,3.2546614988439946
2208,p-so-8,X-coord,-1.0-1.0,0.0,1058.0,362.0,25.492957746478872,1.0,0.16047289334578027,4.090928689519187
2304,p-so-9,X-coord,-1.0-1.0,0.0,1283.0,137.0,9.647887323943662,1.0,0.16047289334578027,1.5482243935473168
2400,pcpo-1,X-coord,-1.0-1.0,0.0,1333.0,87.0,6.126760563380282,0.0,0.16047289334578027,0.9831789944424566
2496,pcpo-2,X-coord,-1.0-1.0,0.0,1365.0,55.0,3.8732394366197185,0.0,0.16047289334578027,0.6215499390153462
