,Name,Category,NAtoms
0,c-n-1,etcoord,63
1,c-n-2,etcoord,61
2,c-n-3,etcoord,70
3,c-o-1,etcoord,59
4,c-o-2,etcoord,86
5,c-o-3,etcoord,92
6,c-o-4,etcoord,68
7,c-o-5,etcoord,54
8,c-o-6,etcoord,68
9,c-o-9,etcoord,94
10,c-p-1,etcoord,66
11,c-s-1,etcoord,48
12,p-o-10,etcoord,62
13,p-o-11,etcoord,64
14,p-o-12,etcoord,65
15,p-o-13,etcoord,84
16,p-o-15,etcoord,92
17,p-o-16,etcoord,94
18,p-o-17,etcoord,80
19,p-o-18,etcoord,80
20,p-o-19,etcoord,98
21,p-o-20,etcoord,80
22,p-o-21,etcoord,74
23,p-o-22,etcoord,78
24,p-o-23,etcoord,81
25,p-o-24,etcoord,79
26,p-o-25,etcoord,73
27,p-o-26,etcoord,77
28,p-o-27,etcoord,59
29,p-o-28,etcoord,91
30,p-o-29,etcoord,81
31,p-o-30,etcoord,87
32,p-o-31,etcoord,91
33,p-o-32,etcoord,97
34,p-o-34,etcoord,70
35,p-o-35,etcoord,71
36,p-o-36,etcoord,100
37,p-o-37,etcoord,70
38,p-o-38,etcoord,94
39,p-o-39,etcoord,100
40,p-o-40,etcoord,96
41,p-o-43,etcoord,100
42,p-o-44,etcoord,96
43,p-o-48,etcoord,73
44,p-o-8,etcoord,86
45,p-o-9,etcoord,76
46,c-n-1,nocoord,57
47,c-n-2,nocoord,55
48,c-n-3,nocoord,64
49,c-o-1,nocoord,53
50,c-o-2,nocoord,80
51,c-o-3,nocoord,86
52,c-o-4,nocoord,62
53,c-o-5,nocoord,56
54,c-o-6,nocoord,62
55,c-o-7,nocoord,53
56,c-o-8,nocoord,72
57,c-p-1,nocoord,60
58,c-s-1,nocoord,42
59,n-o-1,nocoord,63
60,n-o-2,nocoord,68
61,n-o-3,nocoord,65
62,n-o-4,nocoord,71
63,n-o-5,nocoord,74
64,n-o-6,nocoord,83
65,p-n-1,nocoord,55
66,p-n-2,nocoord,59
67,p-n-3,nocoord,67
68,p-n-4,nocoord,83
69,p-o-10,nocoord,56
70,p-o-11,nocoord,58
71,p-o-12,nocoord,59
72,p-o-13,nocoord,78
73,p-o-14,nocoord,79
74,p-o-15,nocoord,86
75,p-o-16,nocoord,88
76,p-o-17,nocoord,74
77,p-o-18,nocoord,74
78,p-o-19,nocoord,92
79,p-o-20,nocoord,74
80,p-o-21,nocoord,68
81,p-o-22,nocoord,72
82,p-o-23,nocoord,75
83,p-o-24,nocoord,73
84,p-o-25,nocoord,72
85,p-o-26,nocoord,71
86,p-o-27,nocoord,53
87,p-o-28,nocoord,85
88,p-o-29,nocoord,75
89,p-o-30,nocoord,81
90,p-o-31,nocoord,85
91,p-o-32,nocoord,91
92,p-o-33,nocoord,72
93,p-o-34,nocoord,64
94,p-o-35,nocoord,65
95,p-o-36,nocoord,99
96,p-o-37,nocoord,64
97,p-o-38,nocoord,88
98,p-o-39,nocoord,100
99,p-o-40,nocoord,90
100,p-o-41,nocoord,74
101,p-o-42,nocoord,86
102,p-o-43,nocoord,98
103,p-o-44,nocoord,90
104,p-o-45,nocoord,90
105,p-o-8,nocoord,80
106,p-o-9,nocoord,70
