,Name,Category,Metal,Atom_A,Atom_B,A-M-B Angle,M-A Distance,M-B Distance,Metal_NBO,A_NBO,B_NBO,HOMO_LUMO,A-B_NBO,MA_MB_Difference,SPE,Gibbs Free Energy Correction
0,c-n-1,etcoord,7.0,14.0,20.0,81.0,2.153451201977421,2.104618529520492,0.24828,0.26091,-0.89713,0.16474,1.15804,0.0488326724569287,-1923.83815997,0.433509
2,c-n-2,etcoord,7.0,20.0,33.0,83.0,2.168403708000196,2.3289121680533595,0.32494,0.23021,-0.41169,0.18673,0.6419,-0.1605084600531636,-1225.68362702,0.458576
4,c-n-3,etcoord,7.0,14.0,63.0,81.0,2.175838818325475,2.362648927433993,0.35699,0.23226,-0.41969,0.179,0.65195,-0.1868101091085181,-1530.64043077,0.519838
6,c-o-1,etcoord,7.0,14.0,47.0,83.0,2.156459512331034,2.0689274996775504,0.33021,0.35389,-0.69052,0.16653,1.04441,0.0875320126534835,-1320.1023649,0.420964
8,c-o-2,etcoord,7.0,20.0,70.0,80.0,2.178434754390638,2.168874815587566,0.37411,0.24897,-1.08223,0.18602,1.3312,0.009559938803072,-1901.9545946,0.665148
10,c-o-3,etcoord,7.0,14.0,61.0,85.0,2.216103654454141,2.1213483516473666,0.35806,0.21408,-1.08572,0.1616699999999999,1.2998,0.0947553028067749,-2055.49435344,0.710872
12,c-o-4,etcoord,7.0,14.0,47.0,82.0,2.1896299249306947,2.0783832705016176,0.34016,0.34667,-0.69926,0.16929,1.04593,0.1112466544290771,-1437.98261312,0.504376
14,c-o-5,etcoord,,,,82.0,2.1896299249306947,2.0783832705016176,0.34016,0.34667,-0.69926,0.19435,1.04593,0.1112466544290771,-1788.95352086,
16,c-o-6,etcoord,7.0,14.0,62.0,86.0,2.1579891388220656,2.055220807487604,0.3103,0.23452,-0.67473,0.16268,0.90925,0.1027683313344614,-1512.97528665,0.494346
20,c-o-9,etcoord,88.0,7.0,16.0,87.0,2.079243816787728,2.201331591971096,0.33708,0.25807,-1.1107,0.15937,1.36877,-0.1220877751833677,-2281.64613374,0.703662
21,c-p-1,etcoord,,,,87.0,2.079243816787728,2.201331591971096,0.33708,0.25807,-1.1107,0.1798799999999999,1.36877,-0.1220877751833677,-1777.75137429,0.469441
23,c-s-1,etcoord,7.0,38.0,14.0,86.0,2.623376725781297,2.072378995062679,0.13527,0.40083,0.28795,0.18344,0.11288,0.5509977307186182,-1411.35955966,0.335963
35,p-o-10,etcoord,1.0,2.0,26.0,77.0,2.5097896940235844,2.307648310891848,0.24077,1.06323,-0.56903,0.16835,1.63226,0.2021413831317362,-1479.27803892,0.467273
37,p-o-11,etcoord,1.0,2.0,26.0,76.0,2.519199192671552,2.151042653901591,0.29158,1.19839,-0.60617,0.1785299999999999,1.80456,0.368156538769961,-1534.63356128,0.480867
39,p-o-12,etcoord,31.0,1.0,52.0,81.0,2.4314860929836715,2.0738875224596924,0.27476,1.06457,-0.70431,0.15972,1.76888,0.357598570523979,-1706.15437273,0.467901
41,p-o-13,etcoord,31.0,1.0,4.0,89.0,2.526883282399288,2.130748758012075,0.27476,1.06457,-0.34564,0.16917,1.41021,0.3961345243872132,-2582.34722086,0.594781
46,p-o-15,etcoord,31.0,1.0,4.0,88.0,2.531764969350433,2.1001188880589594,0.35642,1.0079,-1.05434,0.17052,2.06224,0.4316460812914737,-2811.36006025,0.656247
48,p-o-16,etcoord,81.0,1.0,44.0,82.0,2.4846251426637784,2.1317484186183884,0.31894,1.04712,-1.08901,0.16881,2.13613,0.35287672404539,-2642.52749171,0.695366
50,p-o-17,etcoord,62.0,1.0,35.0,87.0,2.5190310165587486,2.122238279790938,0.33155,1.01813,-1.07767,0.17201,2.0958,0.3967927367678108,-2334.91653531,0.582261
52,p-o-18,etcoord,61.0,1.0,80.0,92.0,2.510920945523574,2.410370149804589,0.06383,1.06278,-0.40233,0.16168,1.46511,0.1005507957189846,-2657.86962778,0.573134
54,p-o-19,etcoord,51.0,1.0,14.0,87.0,2.48051185006986,2.1505032323877127,0.29187,1.04997,-1.08823,0.17643,2.1382000000000003,0.3300086176821475,-2420.75194971,0.768852
56,p-o-20,etcoord,62.0,1.0,61.0,82.0,2.462983742743342,2.119598638685636,0.30178,1.05051,-1.10946,0.17268,2.15997,0.3433851040577065,-2205.79669946,0.596207
58,p-o-21,etcoord,14.0,1.0,13.0,89.0,2.5208439980635453,2.1229951009500705,0.28259,1.00378,-1.06101,0.17743,2.06479,0.3978488971134748,-2127.19695879,0.541813
