,Name,Category,Metal,Atom_A,Atom_B,A-M-B Angle,M-A Distance,M-B Distance,Metal_NBO,A_NBO,B_NBO,HOMO_LUMO,A-B_NBO,MA_MB_Difference,SPE,Gibbs Free Energy Correction
1,c-n-1,nocoord,7.0,14.0,20.0,84.0,2.097218972465441,2.050283222092499,0.33113,0.24361,-0.86651,0.15855,1.11012,0.0469357503729419,-1844.06494126,0.385009
3,c-n-2,nocoord,7.0,14.0,27.0,90.0,2.1396459693879266,2.157782033035543,0.37354,0.21914,-0.37519,0.1767999999999999,0.59433,-0.0181360636476162,-1145.90958639,0.408525
5,c-n-3,nocoord,7.0,14.0,63.0,84.0,2.1044800843196403,2.206040348620577,0.38173,0.24008,-0.40066,0.16879,0.64074,-0.1015602643009372,-1450.86453196,0.468864
7,c-o-1,nocoord,7.0,14.0,41.0,87.0,2.080869116981892,2.0279014280543817,0.39489,0.32829,-0.64436,0.14873,0.97265,0.0529676889275103,-1240.32616795,0.372268
9,c-o-2,nocoord,7.0,14.0,64.0,81.0,2.117489529622756,2.134671318842786,0.46711,0.2329,-1.07081,0.17127,1.30371,-0.0171817892200301,-1822.16826179,0.614342
11,c-o-3,nocoord,7.0,14.0,61.0,88.0,2.148634355965202,2.078817506434608,0.44561,0.18737,-1.06803,0.15833,1.2554,0.0698168495305942,-1975.71226983,0.658583
13,c-o-4,nocoord,7.0,14.0,41.0,88.0,2.094222147168251,2.0222891963557044,0.39713,0.32129,-0.64348,0.14942,0.96477,0.0719329508125468,-1358.2050532,0.457425
15,c-o-5,nocoord,7.0,14.0,32.0,92.0,2.1296898781092515,2.085629037901755,0.40323,0.22345,-0.93299,0.17407,1.15644,0.0440608402074964,-1714.00002632,0.39596
17,c-o-6,nocoord,7.0,14.0,62.0,88.0,2.0823953817260548,2.0227171981475807,0.36912,0.22004,-0.63178,0.15417,0.85182,0.0596781835784741,-1433.20196554,0.446057
18,c-o-7,nocoord,38.0,11.0,22.0,89.0,2.0804378562093606,2.0204665882676704,0.38297,0.21746,-0.6308,0.15485,0.84826,0.0599712679416901,-1315.31949107,0.362834
19,c-o-8,nocoord,37.0,11.0,22.0,88.0,2.08482599793412,2.019187835816668,0.38514,0.21607,-0.64047,0.1542,0.85654,0.0656381621174522,-1664.1713416,0.512512
22,c-p-1,nocoord,6.0,13.0,19.0,80.0,2.0160894066494173,2.4172853006083086,0.16741,0.32566,1.05174,0.1848,-0.7260799999999998,-0.4011958939588913,-1697.96995214,0.420803
24,c-s-1,nocoord,7.0,38.0,14.0,92.0,2.556284151584288,2.00545540592081,0.20202,0.39568,0.31677,0.18373,0.0789099999999999,0.5508287456634777,-1331.58560098,0.290865
25,n-o-1,nocoord,7.0,47.0,31.0,91.0,2.128393461226096,2.020788870659179,0.49887,-0.5005,-0.61144,0.14856,0.11094,0.1076045905669169,-1379.30007721,0.45934
26,n-o-2,nocoord,7.0,33.0,30.0,90.0,2.125028111193591,2.016331494113257,0.50126,-0.5,-0.64676,0.1516,0.14676,0.108696617080334,-1382.68655268,0.509128
27,n-o-3,nocoord,7.0,33.0,30.0,90.0,2.145978553097165,2.0176778266824464,0.50082,-0.49104,-0.64588,0.14848,0.15484,0.1283007264147184,-1343.38547637,0.482955
28,n-o-4,nocoord,7.0,33.0,30.0,90.0,2.124362830888358,2.016471663253913,0.50198,-0.49736,-0.64699,0.15178,0.1496299999999999,0.1078911676344458,-1421.98509058,0.533298
29,n-o-5,nocoord,7.0,33.0,30.0,90.0,2.1456605128551907,2.017872192727032,0.50118,-0.49133,-0.64592,0.14842,0.15459,0.1277883201281584,-1461.27184743,0.564136
30,n-o-6,nocoord,7.0,41.0,30.0,90.0,2.121520565758909,2.0173828209710223,0.50931,-0.50209,-0.65043,0.15179,0.1483399999999999,0.1041377447878866,-1579.16423554,0.641306
31,p-n-1,nocoord,29.0,1.0,43.0,83.0,2.372977445422312,2.184907960642965,0.32789,1.0614,-0.40603,0.15456,1.4674299999999998,0.1880694847793464,-1528.33840059,0.389634
32,p-n-2,nocoord,10.0,1.0,23.0,84.0,2.391039460424901,2.1687832581844133,0.32282,1.0414,-0.40735,0.1609899999999999,1.44875,0.2222562022404872,-1380.80279838,0.454447
33,p-n-3,nocoord,10.0,1.0,23.0,84.0,2.3715484284679915,2.166068920550775,0.30342,1.07813,-0.40627,0.16038,1.4844,0.2054795079172167,-1535.58922604,0.5254
34,p-n-4,nocoord,10.0,1.0,23.0,84.0,2.3851372281841563,2.168653585974948,0.3094,1.06744,-0.41019,0.15917,1.47763,0.2164836422092086,-1845.16079053,0.669428
