Filename,Metal ,Atom_A,Atom_B
c-n-1-spe-etcoord,7,14,20
c-n-1-spe-etcoord-cis,7,20,14
c-n-1-spe-nocoord,7,14,20
c-n-1-spe-nocoord-cis,7,20,14
c-n-2-spe-etcoord,7,20,33
c-n-2-spe-etcoord-cis,7,33,20
c-n-2-spe-nocoord,7,14,27
c-n-2-spe-nocoord-cis,7,27,14
c-n-3-spe-etcoord,7,14,63
c-n-3-spe-etcoord-cis,7,63,14
c-n-3-spe-nocoord,7,14,63
c-n-3-spe-nocoord-cis,7,63,14
c-o-1-spe-etcoord,7,14,47
c-o-1-spe-etcoord-cis,7,47,14
c-o-1-spe-nocoord,7,14,41
c-o-1-spe-nocoord-cis,7,41,14
c-o-2-spe-etcoord,7,20,70
c-o-2-spe-etcoord-cis,7,70,20
c-o-2-spe-nocoord,7,14,64
c-o-2-spe-nocoord-cis,7,64,14
c-o-3-spe-etcoord,7,14,61
c-o-3-spe-nocoord,7,14,61
c-o-4-spe-etcoord,7,14,47
c-o-4-spe-etcoord-cis,7,47,14
c-o-4-spe-nocoord,7,14,41
c-o-4-spe-nocoord-cis,,,
c-o-5-spe-etcoord,,,
c-o-5-spe-etcoord-cis,,,
c-o-5-spe-nocoord,7,14,32
c-o-5-spe-nocoord-cis,7,41,14
c-o-6-spe-etcoord,7,14,62
c-o-6-spe-nocoord,7,14,62
c-o-7-spe-etcoord,33,11,22
c-o-7-spe-nocoord,38,11,22
c-o-8-spe-etcoord,32,11,22
c-o-8-spe-nocoord,37,11,22
c-o-9-spe-etcoord,88,7,16
c-o-9-spe-nocoord,27,7,16
c-p-1-spe-etcoord,,,
c-p-1-spe-etcoord-cis,,,
c-p-1-spe-nocoord,6,13,19
c-p-1-spe-nocoord-cis,,,
c-s-1-spe-etcoord,7,38,14
c-s-1-spe-etcoord-cis,7,14,38
c-s-1-spe-nocoord,7,38,14
c-s-1-spe-nocoord-cis,7,14,38
p-o-10-spe-etcoord,1,2,26
p-o-10-spe-etcoord-cis,1,26,2
p-o-10-spe-nocoord,1,2,26
