,Name,Category,Metal,Atom_A,Atom_B,A-M-B Angle,M-A Distance,M-B Distance,Metal_NBO,A_NBO,B_NBO,HOMO_LUMO,A-B_NBO,MA_MB_Difference,SPE
0,c-n-1,etcoord,7.0,14.0,20.0,81,2.153451201977421,2.104618529520492,0.24828,0.26091,-0.89713,0.16474,1.15804,0.048832672456928794,-1923.83815997
25,p-o-24,etcoord,51.0,1.0,50.0,81,2.4986255110172073,2.1604923086303733,0.27271,1.05317,-1.10365,0.17751,2.1568199999999997,0.338133202386834,-2688.28774626
26,p-o-25,etcoord,51.0,1.0,50.0,81,2.4611499667799603,2.152813493763452,0.25467,1.07679,-1.10236,0.17563,2.17915,0.30833647301650835,-2014.14783444
27,p-o-26,etcoord,31.0,1.0,30.0,82,2.557541267512413,2.155551340770848,0.31184,1.00419,-1.11306,0.17997,2.11725,0.4019899267415652,-1866.60328465
28,p-o-27,etcoord,5.0,1.0,4.0,82,2.5483218005732713,2.172814146312105,0.27746,1.02711,-1.06868,0.17966,2.09579,0.3755076542611664,-1630.83814549
29,p-o-28,etcoord,5.0,1.0,4.0,83,2.5455889758012784,2.156868374372901,0.32271,0.99227,-1.08941,0.17687,2.08168,0.3887206014283775,-2099.98016183
30,p-o-29,etcoord,63.0,32.0,9.0,77,2.4477543580014314,2.119653718370291,0.33968,1.09057,-1.05417,0.15087,2.14474,0.32810063963114056,-5476.62525271
31,p-o-30,etcoord,61.0,30.0,7.0,82,2.4607133793682676,2.098323669214547,0.34053,1.07726,-1.05041,0.15554,2.12767,0.36238971015372057,-3056.73787229
32,p-o-31,etcoord,31.0,30.0,7.0,85,2.4804260430671987,2.077360136479469,0.32831,1.09185,-1.04509,0.16170999999999996,2.13694,0.40306590658772956,-2834.97090862
33,p-o-32,etcoord,50.0,30.0,7.0,83,2.4371202562739906,2.0847083409182203,0.32873,1.10341,-1.0458,0.14819000000000002,2.14921,0.3524119153557703,-3287.69509996
24,p-o-23,etcoord,50.0,1.0,49.0,81,2.514197319865328,2.142320149740463,0.27929,1.05282,-1.10254,0.17576000000000003,2.15536,0.3718771701248649,-2243.16616661
34,p-o-34,etcoord,62.0,1.0,33.0,88,2.4978751558186407,2.1656457225742165,0.27945,1.04178,-1.06964,0.17455,2.11142,0.3322294332444242,-2199.1091505
36,p-o-36,etcoord,99.0,1.0,12.0,86,2.4907133513750632,2.166611590436089,0.31892,1.04541,-1.07421,0.17434,2.1196200000000003,0.32410176093897425,-3159.80320895
38,p-o-38,etcoord,25.0,1.0,12.0,86,2.5297135183324615,2.10849698876024,0.34072,0.99436,-1.11003,0.17069,2.10439,0.42121652957222144,-2247.51913432
39,p-o-39,etcoord,100.0,1.0,12.0,84,2.527369981377479,2.115608981538413,0.32815,1.00444,-1.10845,0.17524,2.11289,0.4117609998390659,-2404.72697413
40,p-o-40,etcoord,90.0,1.0,12.0,85,2.4772052169509493,2.1122449912178745,0.34037,1.02615,-1.11854,0.1708,2.1446899999999998,0.36496022573307485,-2473.664208
41,p-o-43,etcoord,56.0,1.0,12.0,84,2.4743640805156386,2.108820393080928,0.33456,1.04435,-1.10957,0.17171,2.15392,0.36554368743471066,-2702.69718297
42,p-o-44,etcoord,46.0,1.0,12.0,83,2.4794916556750093,2.1170829810911993,0.31071,1.04722,-1.10296,0.17508,2.1501799999999998,0.36240867458381,-2870.69066924
43,p-o-48,etcoord,46.0,1.0,12.0,3,4.59125213879177,7.525911492455514,0.31071,1.04722,-1.10296,0.15931,2.1501799999999998,-2.9346593536637444,-1935.17679668
44,p-o-8,etcoord,33.0,1.0,4.0,87,2.467544908744317,2.1210095763058217,0.29287,1.04676,-1.07411,0.17507,2.12087,0.3465353324384952,-2413.50071893
