Name,Total_VBur,SW_VBur,NW_VBur,NE_VBur,SE_VBur,N_AVG,S_AVG,Phenylene_backbone,Pd-O Distance,Alkoxy,Charge
c-p-1,45.7,60.3,38.5,40.6,43.3,45.68,51.8,1,0,0,1
c-s-1,48.3,47.9,52.9,35.7,56.8,48.32,52.35,1,0,0,1
c-n-1,49.3,58.7,38.2,43.7,56.5,49.28,57.6,1,0,0,0
c-n-2,49.5,47.1,47.3,44.8,58.9,49.52,53,0,0,0,1
c-n-3,51.4,59.9,45.1,45.6,55,51.4,57.45,1,0,0,1
c-o-1,42.5,29,33.2,41.2,66.3,42.44,47.65,1,0,0,0
c-o-2,48,36.3,32.8,54.8,68.2,48.02,52.25,1,0,0,1
c-o-3,53,51.8,30,65.6,64.7,53.02,58.25,1,0,0,1
c-o-4,47.7,33.6,32.5,55.5,69.1,47.68,51.35,1,0,0,0
c-o-5,47.2,31,45.9,70.5,41.3,47.18,36.15,1,0,0,0
c-o-6,46.6,29,29.2,62,66.2,46.6,47.6,1,0,0,0
c-o-7,40,28.9,29.4,49.7,52.2,40.04,40.55,1,0,0,0
c-o-8,42.2,39.9,27.9,52.9,48.2,42.22,44.05,1,0,0,0
p-o-8,49.6,31.7,65.5,52.9,48.2,49.58,39.95,1,0,0,1
p-o-9,45,29.8,49.9,50.4,49.8,44.98,39.8,1,0,0,1
p-o-10,40.8,33.5,29.7,52.1,47.9,40.8,40.7,1,0,0,1
p-o-11,42,31.8,30.6,51.6,54,42,42.9,1,0,0,1
p-o-12,36.8,31.7,30.9,42.9,41.6,36.78,36.65,1,0,0,0
p-o-13,48.7,30.1,49.6,64.5,50.5,48.68,40.3,1,3.18,1,1
p-o-14,39.6,38.3,30.4,44.8,44.9,39.6,41.6,1,3.78,1,0
p-o-15,53.5,38.1,48.2,64.1,63.8,53.54,50.95,1,2.97,1,1
p-o-16,49.6,36,58.8,60.6,43,49.6,39.5,1,3.31,1,1
p-o-17,43.4,44.5,30.9,48.9,49.3,43.4,46.9,1,0,0,1
p-o-18,49.1,50.6,35.5,54.3,56.1,49.12,53.35,1,0,0,1
p-o-19,49,28.9,60.2,55.4,51.5,49,40.2,1,0,0,1
p-o-20,46.6,60.9,34.2,44.6,46.7,46.6,53.8,1,0,0,1
p-o-21,45.8,30.3,49,50.1,53.8,45.8,42.05,1,0,0,1
p-o-22,48.6,61.4,30.2,50.9,51.9,48.6,56.65,1,0,0,1
p-o-23,47.9,44.7,48.5,41,57.6,47.94,51.15,1,2.96,1,1
p-o-24,52.8,49.3,44,60.8,56.9,52.76,53.1,1,0,0,1
p-o-25,48.6,61.4,30.2,50.9,51.9,48.6,56.65,1,0,0,1
p-o-26,49.5,54.7,34.9,54.2,54.3,49.52,54.5,1,0,0,1
p-o-27,44.8,41.1,34.3,51.6,52.1,44.78,46.6,1,0,0,1
p-o-28,50.8,42,27.6,66.3,67.4,50.82,54.7,1,0,0,1
p-o-29,48,54.6,27.7,48.8,61.1,48.04,57.85,1,3.28,1,1
p-o-30,50,57.5,26.2,51.5,65,50.04,61.25,1,3.16,1,1
p-o-31,46.6,55.7,28,48.8,54,46.62,54.85,1,0,0,1
p-o-32,47.1,56,27.6,43.5,61.1,47.06,58.55,1,4.28,1,1
p-o-33,50,34,44.5,55.1,66.3,49.98,50.15,1,3.05,1,1
p-o-34,43.3,30.4,45.4,48.3,49,43.28,39.7,1,0,0,1
p-o-35,48.7,29.2,55.1,57.4,53.1,48.7,41.15,1,0,0,1
p-o-36,46.3,31.2,45.9,59.5,48.7,46.32,39.95,1,0,0,1
p-o-37,47.8,54.5,31.3,53.4,51.8,47.76,53.15,1,0,0,1
p-o-38,52,37.5,64.2,56.4,50.1,52.04,43.8,1,0,0,1
p-o-39,50.7,37.2,65.8,51.5,48.4,50.72,42.8,1,0,0,1
p-o-40,49.8,52.4,45.4,48.6,53,49.84,52.7,1,0,0,1
p-o-41,50.5,33.7,44.5,59.9,64,50.52,48.85,1,3.14,1,1
p-o-42,48.9,48.8,30.6,55.3,60.9,48.9,54.85,1,3.27,1,1
p-o-43,57.1,42.9,57.2,65.6,62.7,57.1,52.8,1,3.07,1,1
p-o-44,49.7,33.5,55.8,55.3,54.3,49.72,43.9,1,0,0,1
p-o-45,50,33.6,47.2,61,58.4,50.04,46,1,2.93,1,1
p-n-1,46.3,46.5,48.3,43.7,46.6,46,46.55,1,0,0,1
p-n-2,53.2,49.8,50.5,56.5,56.1,53.5,52.95,1,0,0,1
p-n-3,50.2,49.3,48.6,52.3,50.7,50.45,50,1,0,0,1
p-n-4,55.2,50.4,49.6,55.6,65.1,52.6,57.75,1,0,0,1
n-o-1,40.8,29.7,29.6,52.1,51.8,40.85,40.75,1,0,1,0
n-o-2,41.2,32.4,33.8,49.9,48.8,41.85,40.6,1,0,0,0
n-o-3,36.8,32.5,33.8,44.2,36.5,39,34.5,1,0,0,0
n-o-4,41.1,32.4,33.8,49.7,48.8,41.75,40.6,1,0,0,0
n-o-5,36.7,32.3,34.1,43.7,36.7,38.9,34.5,1,0,0,0
n-o-6,42.5,32.7,33.3,51.6,52.4,42.45,42.55,1,0,0,0
