,Name,Axis,Boundary,Threshold,Unfilled,Filled,%Filled,Unnamed: 0,Coefficient,Weighted_percent_filled
0,c-n-1,X-coord,-1.0-1.0,0.0,1141.0,279.0,19.64788732394366,0,0.1604728933457802,3.1529533270051173
1,c-n-2,X-coord,-1.0-1.0,0.0,1236.0,184.0,12.95774647887324,0,0.1604728933457802,2.079367068705884
2,c-n-3,X-coord,-1.0-1.0,0.0,1292.0,128.0,9.014084507042254,0,0.1604728933457802,1.4465162217084413
3,c-o-1,X-coord,-1.0-1.0,0.0,1059.0,361.0,25.422535211267604,0,0.1604728933457802,4.079627781537088
4,c-o-2,X-coord,-1.0-1.0,0.0,1102.0,318.0,22.3943661971831,0,0.1604728933457802,3.5936887383069087
5,c-o-3,X-coord,-1.0-1.0,0.0,830.0,590.0,41.54929577464789,0,0.1604728933457802,6.667535709437346
6,c-o-4,X-coord,-1.0-1.0,0.0,902.0,518.0,36.478873239436616,0,0.1604728933457802,5.853870334726347
7,c-o-5,X-coord,-1.0-1.0,0.0,895.0,525.0,36.971830985915496,0,0.1604728933457802,5.932976690601029
8,c-o-6,X-coord,-1.0-1.0,0.0,916.0,504.0,35.49295774647887,0,0.1604728933457802,5.695657622976987
9,c-o-7,X-coord,-1.0-1.0,0.0,1248.0,172.0,12.112676056338028,0,0.1604728933457802,1.9437561729207178
10,c-o-8,X-coord,-1.0-1.0,0.0,1244.0,176.0,12.394366197183098,0,0.1604728933457802,1.9889598048491064
11,c-p-1,X-coord,-1.0-1.0,0.0,1251.0,169.0,11.901408450704226,0,0.1604728933457802,1.9098534489744263
12,c-s-1,X-coord,-1.0-1.0,0.0,1110.0,310.0,21.830985915492956,0,0.1604728933457802,3.5032814744501306
13,n-o-1,X-coord,-1.0-1.0,0.0,1288.0,132.0,9.295774647887324,0,0.1604728933457802,1.49171985363683
14,n-o-2,X-coord,-1.0-1.0,0.0,1282.0,138.0,9.71830985915493,0,0.1604728933457802,1.559525301529413
15,n-o-3,X-coord,-1.0-1.0,0.0,1330.0,90.0,6.338028169014085,0,0.1604728933457802,1.0170817183887477
16,n-o-4,X-coord,-1.0-1.0,0.0,1285.0,135.0,9.507042253521126,0,0.1604728933457802,1.5256225775831214
17,n-o-5,X-coord,-1.0-1.0,0.0,1332.0,88.0,6.197183098591549,0,0.1604728933457802,0.9944799024245532
18,n-o-6,X-coord,-1.0-1.0,0.0,1298.0,122.0,8.591549295774648,0,0.1604728933457802,1.378710773815858
19,p-n-1,X-coord,-1.0-1.0,0.0,1371.0,49.0,3.4507042253521125,0,0.1604728933457802,0.5537444911227626
20,p-n-2,X-coord,-1.0-1.0,0.0,1226.0,194.0,13.661971830985916,0,0.1604728933457802,2.192376148526856
21,p-n-3,X-coord,-1.0-1.0,0.0,1184.0,236.0,16.619718309859156,0,0.1604728933457802,2.6670142837749387
22,p-n-4,X-coord,-1.0-1.0,0.0,971.0,449.0,31.619718309859156,0,0.1604728933457802,5.074107683961642
23,p-o-10,X-coord,-1.0-1.0,0.0,1383.0,37.0,2.6056338028169015,0,0.1604728933457802,0.41813359533759625
