,Name,Axis,Boundary,Threshold,Unfilled,Filled,%Filled
0,c-n-1,X-coord,-1.0-1.0,0.0,1141.0,279.0,19.64788732394366
96,c-n-2,X-coord,-1.0-1.0,0.0,1236.0,184.0,12.95774647887324
192,c-n-3,X-coord,-1.0-1.0,0.0,1292.0,128.0,9.014084507042254
288,c-o-1,X-coord,-1.0-1.0,0.0,1059.0,361.0,25.422535211267604
384,c-o-2,X-coord,-1.0-1.0,0.0,1102.0,318.0,22.3943661971831
480,c-o-3,X-coord,-1.0-1.0,0.0,830.0,590.0,41.54929577464789
576,c-o-4,X-coord,-1.0-1.0,0.0,902.0,518.0,36.478873239436616
672,c-o-5,X-coord,-1.0-1.0,0.0,895.0,525.0,36.971830985915496
768,c-o-6,X-coord,-1.0-1.0,0.0,916.0,504.0,35.49295774647887
864,c-o-7,X-coord,-1.0-1.0,0.0,1248.0,172.0,12.112676056338028
960,c-o-8,X-coord,-1.0-1.0,0.0,1244.0,176.0,12.394366197183098
1056,c-p-1,X-coord,-1.0-1.0,0.0,1251.0,169.0,11.901408450704226
1152,c-s-1,X-coord,-1.0-1.0,0.0,1110.0,310.0,21.830985915492956
1248,n-o-1,X-coord,-1.0-1.0,0.0,1288.0,132.0,9.295774647887324
1344,n-o-2,X-coord,-1.0-1.0,0.0,1282.0,138.0,9.71830985915493
1440,n-o-3,X-coord,-1.0-1.0,0.0,1330.0,90.0,6.338028169014085
1536,n-o-4,X-coord,-1.0-1.0,0.0,1285.0,135.0,9.507042253521126
1632,n-o-5,X-coord,-1.0-1.0,0.0,1332.0,88.0,6.197183098591549
1728,n-o-6,X-coord,-1.0-1.0,0.0,1298.0,122.0,8.591549295774648
1824,p-n-1,X-coord,-1.0-1.0,0.0,1371.0,49.0,3.4507042253521125
1920,p-n-2,X-coord,-1.0-1.0,0.0,1226.0,194.0,13.661971830985916
2016,p-n-3,X-coord,-1.0-1.0,0.0,1184.0,236.0,16.619718309859156
2112,p-n-4,X-coord,-1.0-1.0,0.0,971.0,449.0,31.619718309859156
2208,p-o-10,X-coord,-1.0-1.0,0.0,1383.0,37.0,2.6056338028169015
2304,p-o-11,X-coord,-1.0-1.0,0.0,1252.0,168.0,11.830985915492958
2400,p-o-12,X-coord,-1.0-1.0,0.0,1351.0,69.0,4.859154929577465
2496,p-o-13,X-coord,-1.0-1.0,0.0,1114.0,306.0,21.549295774647888
2592,p-o-14,X-coord,-1.0-1.0,0.0,1354.0,66.0,4.647887323943662
2688,p-o-15,X-coord,-1.0-1.0,0.0,735.0,685.0,48.23943661971831
2784,p-o-16,X-coord,-1.0-1.0,0.0,1188.0,232.0,16.338028169014084
2880,p-o-17,X-coord,-1.0-1.0,0.0,1335.0,85.0,5.985915492957746
2976,p-o-18,X-coord,-1.0-1.0,0.0,1158.0,262.0,18.450704225352112
3072,p-o-19,X-coord,-1.0-1.0,0.0,1111.0,309.0,21.760563380281692
3168,p-o-20,X-coord,-1.0-1.0,0.0,1138.0,282.0,19.859154929577464
3264,p-o-21,X-coord,-1.0-1.0,0.0,1191.0,229.0,16.12676056338028
3360,p-o-22,X-coord,-1.0-1.0,0.0,1030.0,390.0,27.464788732394368
3456,p-o-23,X-coord,-1.0-1.0,0.0,948.0,472.0,33.23943661971831
3552,p-o-24,X-coord,-1.0-1.0,0.0,751.0,669.0,47.11267605633803
3648,p-o-25,X-coord,-1.0-1.0,0.0,1030.0,390.0,27.464788732394368
3744,p-o-26,X-coord,-1.0-1.0,0.0,938.0,482.0,33.943661971830984
3840,p-o-27,X-coord,-1.0-1.0,0.0,1340.0,80.0,5.633802816901408
3936,p-o-28,X-coord,-1.0-1.0,0.0,951.0,469.0,33.028169014084504
4032,p-o-29,X-coord,-1.0-1.0,0.0,1104.0,316.0,22.253521126760564
4128,p-o-30,X-coord,-1.0-1.0,0.0,1104.0,316.0,22.253521126760564
4224,p-o-31,X-coord,-1.0-1.0,0.0,1175.0,245.0,17.253521126760564
4320,p-o-32,X-coord,-1.0-1.0,0.0,994.0,426.0,30.0
4416,p-o-33,X-coord,-1.0-1.0,0.0,1079.0,341.0,24.014084507042252
4512,p-o-34,X-coord,-1.0-1.0,0.0,1297.0,123.0,8.661971830985916
4608,p-o-35,X-coord,-1.0-1.0,0.0,971.0,449.0,31.619718309859156
4704,p-o-36,X-coord,-1.0-1.0,0.0,1344.0,76.0,5.352112676056338
4800,p-o-37,X-coord,-1.0-1.0,0.0,1200.0,220.0,15.492957746478874
4896,p-o-38,X-coord,-1.0-1.0,0.0,953.0,467.0,32.88732394366197
4992,p-o-39,X-coord,-1.0-1.0,0.0,1029.0,391.0,27.535211267605632
5088,p-o-40,X-coord,-1.0-1.0,0.0,1175.0,245.0,17.253521126760564
5184,p-o-41,X-coord,-1.0-1.0,0.0,962.0,458.0,32.25352112676056
5280,p-o-42,X-coord,-1.0-1.0,0.0,1121.0,299.0,21.056338028169016
5376,p-o-43,X-coord,-1.0-1.0,0.0,808.0,612.0,43.098591549295776
5472,p-o-44,X-coord,-1.0-1.0,0.0,889.0,531.0,37.394366197183096
5568,p-o-45,X-coord,-1.0-1.0,0.0,840.0,580.0,40.84507042253521
5664,p-o-46,X-coord,-1.0-1.0,0.0,761.0,659.0,46.40845070422535
5760,p-o-47,X-coord,-1.0-1.0,0.0,890.0,530.0,37.32394366197183
